title_lemmatized,body_lemmatized,tags_transformed
['how to use nodemon in npm scripts to build and start scripts'],['scripts build babel src d lib start node usestrict libindexjs watch nodemon libindexjs exec npm run build using the command npm run watch results in the following wrong command being run nodemon starting npm libindexjs run build how would i write a nodemon command that on reload transpiles the code using babel and reloads the code'],"javascript,node.js,npm,nodemon,babeljs"
"['why do i get this error', 'void is not a pointer to object type']","['void stackaddrnumthreads stackaddri mallocstacksize the compiler g 443 complains where the malloc is called warning pointer of type void used in arithmetic error void is not a pointertoobject type if you are interested in seeing the whole code here it goes include pthreadh include stdioh include stdlibh include mathh define numthreads 4 void stackaddrnumthreads pthreadt threadnumthreads pthreadattrt attr void busyworkvoid t int i long tid double result00 tid longt printfthread ld startingntid for i 0 i 1000 i result result sinitid tanitid printfthread ld done', 'result en tid result pthreadexitvoid t void pthreadcreatewithstack pthreadt pthread void startroutine void int tid const sizet stacksize 0xc00000 12582912 void stackaddr int rc sizet i pthreadt thread pidt pid stackaddrtid mallocstacksize error here', 'pthreadattrsetstackattr stackaddrtid stacksize rc pthreadcreate pthread attr startroutine voidtid int main int argc char argv int rc long t void status initialize and set thread detached attribute pthreadattrinitattr pthreadattrsetdetachstateattr pthreadcreatejoinable fort0 tnumthreads t printfmain creating thread ldn t rc pthreadcreatewithstackthreadt busywork t if rc printferror return code from pthreadcreate is dn rc exit1 free attribute and wait for the other threads pthreadattrdestroyattr fort0 tnumthreads t rc pthreadjointhreadt status if rc printferror return code from pthreadjoin is dn rc exit1 printfmain completed join with thread ld having a status of ldntlongstatus printfmain program completed', 'exitingn pthreadexitnull ']","c++,c,linux,gcc,g++"
['altering a column null to not null'],"['i have a table that has several nullable integer columns', 'this is undesirable for several reasons so i am looking to update all nulls to 0 and then set these columns to not null', 'aside from changing nulls to 0 data must be preserved', 'i am looking for the specific sql syntax to alter a column call it columna to not null', 'assume the data has been updated to not contain nulls', 'using sql server 2000']","sql-server,t-sql,null,alter-table,alter-column"
['after setting a breakpoint in qt gdb says error accessing memory address'],"['i wrote a very simple qt program here int mainint argc char argv qapplication appargc argv qtableview tableframe tableresize100 100 tableshow return appexec and when i try to set a breakpoint where the table gets clicked i get this error from gdb gdb symbolfile usrliblibqtguiso443debug load new symbol table from usrliblibqtguiso443debug', 'y or n y reading symbols from usrliblibqtguiso443debugdone', 'gdb br qabstractitemviewclickedqmodelindex const breakpoint 1 at 0x5fc660 file mocreleasesharedmocqabstractitemviewcpp line 313', 'gdb run starting program qttest warning cannot insert breakpoint 1 error accessing memory address 0x5fc660 inputoutput error', 'does anyone know why the breakpoint cant be inserted']","debugging,qt,qt4,gdb,breakpoints"
['why does fetchcontent prefer subdirectorysubsumption vs installation of dependencies'],"['consider two software projects proja and projb with the latter depending on the former and with both using cmake', 'when reading about modern cmake one gets the message that the appropriate way to express dependencies is via target dependencies and one should arrange it so that dependent projects are represented as imported targets you can depend on', 'more specifically in our example projb will idiomatically have findpackageproja etc etc', 'targetlinklibrarybar projafoo and proja will need to have been installed utilizing the cmake installationandexportrelated commands someplace where projbs cmake invocation will search for projaconfigcmake', 'i like this approach and encourage others to adapt to it', 'it offers flexibility in the choice of your own version of proja vs the system version and also allows for noncmake projas via a findprojacmake script which again can be systemlevel or part of projb', 'so far so good right', 'however there are people who want to take matters into their own hands in terms of dependencies and cmake officially condones this with commands such as externalproject and more recently fetchcontent this allows projbs configuration stage to actually download a built or in our case sourceform version of proja', 'the puzzling part to me is that after proja is downloaded say to an externalproja directory cmakes default behavior will be to addsubdirectoryexternalproja that is to use proja as a subproject of projb and build them together', 'this while the idiomatic use above allows the maintainer of proja to do their own thing in my cmakefile and only keep things neat and tidy for others via what i exportinstall', 'my questions why does it make sense to addsubdirectory rather than to build install and perform the equivalent of findpackage to meet the dependency', 'or rather why should the former rather than the latter be the default', 'should i really have to write my projectlevel cmakeliststxt to be compatible with being addsubdirectoryed', 'note just to give some concrete examples of how this use constrains proja must use unique option names which cant possibly clash with superproject names', 'so no more withtests buildstaticlib it has to be withprojatests and buildprojastaticlib', 'you have to account for the parent project having searched for other dependencies already and perhaps differently than how you would like to search for them']","installation,cmake,build,build-dependencies,fetchcontent"
['vuetify data table is not showing data'],"['vuetify data table is not showing data it shows that there are 1 row out of 1 displayed but the table body is empty', 'my component code template vdatatable headersheaders itemsdesserts vdatatable template script export default name users data return headers text dessert 100g serving align left sortable false value name text fat g value fat desserts name frozen yogurt fat 60 script style scoped langstylus style result any idea how to fix this']","javascript,vue.js,vuejs2,vue-component,vuetify.js"
['opensource java xslt 20 implementation'],"['im currently looking into using xslt 20 but i cannot find any opensource java implementations saxonb seems to fit the bill but isnt schemaaware', 'am i missing something']","java,xml,open-source,xslt-2.0,xslt"
['android studio shortcut for autocomplete toastkotlin'],"['i have a problem with the newest version of android studio 3 to use the autocomplete for toast with kotlin', 'in older versions with java it was like typing toast then pushing tab button on keyboard to autocomplete this', 'now in the versions of android studio 3 and kotlin it is not working', 'anyone know how to achive this']","android,android-studio,kotlin,android-studio-3.0,android-studio-3.1"
"['azure build pipeline with there are no accounts registered with xcode', 'add your developer account to xcode']","['i am doing devops on my reactnative projects', 'i want to build the project and want automation on ios app deployment', 'but when i try to build it gives following error check dependencies code signing error there are no accounts registered with xcode', 'add your developer account to xcode code signing error no profiles for ioskapiling were found xcode couldnt find any ios app development provisioning profiles matching ioskapiling', 'code signing error code signing is required for product type application in sdk ios 114 here is my yaml script steps task xcode5 displayname xcode inputs actions allowprovisioningupdates archive configuration release sdk iphoneos114 xcworkspacepath ioscommunityappxcworkspace scheme communityapp xcodeversion 10 signingoption auto teamid xxxxxxxxxx']","ios,xcode,react-native,azure-devops,azure-pipelines"
['j2me aes decryption errororgbouncycastlecryptoinvalidciphertextexception pad block corrupted'],['i am doing encryption and decryption using aes algorithm with bouncy castle my encryption and decryption works ok but it gives me error when my plain text size is bigger even sometimes it is giving non decrypted data public static boolean setencryptionkeystring keytext byte keybytes keytextgetbytes key new keyparameterkeybytes engine new aesfastengine cipher new paddedbufferedblockcipherengine return true encryption public static string encryptstringstring plaintext byte plainarray plaintextgetbytes cipherinittrue key byte cipherbytes new byteciphergetoutputsizeplainarraylength int cipherlength cipherprocessbytesplainarray 0 plainarraylength cipherbytes 0 cipherdofinalcipherbytes cipherlength string cipherstring new stringcipherbytes return cipherstring decryption public static string decryptstringstring encryptedtext byte cipherbytes encryptedtextgetbytes cipherinitfalse key byte decryptedbytes new byteciphergetoutputsizecipherbyteslength int decryptedlength cipherprocessbytescipherbytes 0 cipherbyteslength decryptedbytes 0 cipherdofinaldecryptedbytes decryptedlength string decryptedstring new stringdecryptedbytes int index decryptedstringindexofu0000 if index 0 decryptedstring decryptedstringsubstring0 index return decryptedstring this decryption is giving me following error orgbouncycastlecryptoinvalidciphertextexception pad block corrupted at orgbouncycastlecryptopaddingspkcs7paddingpadcount30 at orgbouncycastlecryptopaddingspaddedbufferedblockcipherdofinal190 at comnewcryptodecryptstringnewcryptojava103 at comnewmidletstartappnewmidletjava23 at javaxmicroeditionmidletmidletproxystartappmidletproxyjava44 at comsunmidpmidletschedulerscheduleschedulerjava375 at comsunmidpmainmainrunlocalclassmainjava477 at comsunmidpmainmainmain80 what could be the problem '],"java-me,aes,encryption,bouncycastle,midlet"
