title,body,tags,score
How to use nodemon in npm scripts to build and start scripts?,"<pre><code>""scripts"": {
  ""build"": ""babel src -d lib"",
  ""start"": ""node --use_strict ./lib/index.js"",
  ""watch"": ""nodemon lib/index.js --exec npm run build""
}
</code></pre>

<p>Using the command <code>npm run watch</code> results in the following wrong command being run: <code>[nodemon] starting ""npm lib/index.js run build""</code></p>

<p>How would I write a nodemon command that, on reload, transpiles the code using babel and reloads the code?</p>
",<javascript><node.js><npm><nodemon><babeljs>,14
Why do I get this error? void* is not a pointer to object type.,"<pre><code>void *stackAddr[NUM_THREADS];

stackAddr[i] = malloc(STACKSIZE);
</code></pre>

<p>The compiler (g++ 4.4.3) complains where the malloc is called...</p>

<pre><code>warning: pointer of type ‘void *’ used in arithmetic
error: ‘void*’ is not a pointer-to-object type
</code></pre>

<p>If you are interested in seeing the whole code, here it goes...</p>

<pre><code>#include &lt;pthread.h&gt;
#include &lt;stdio.h&gt;
#include &lt;stdlib.h&gt;
#include &lt;math.h&gt;
#define NUM_THREADS 4

void *stackAddr[NUM_THREADS];
pthread_t thread[NUM_THREADS];
pthread_attr_t attr;

void *BusyWork(void *t)
{
   int i;
   long tid;
   double result=0.0;
   tid = (long)t;

   printf(""Thread %ld starting...\n"",tid);
   for ( i = 0; i &lt; 1000; i++)
   {
      result = result + sin(i*tid) * tan(i*tid);
   }
   printf(""Thread %ld done. Result = %e\n"", tid, result);
   pthread_exit((void*) t);
}

void pthread_create_with_stack( pthread_t * pthread, void *(*start_routine) (void *), int tid )
{
    const size_t STACKSIZE = 0xC00000; //12582912
    void *stackAddr;
    int rc;
    size_t i;
    pthread_t thread;
    pid_t pid;

    stackAddr[tid] = malloc(STACKSIZE); // Error here!
    pthread_attr_setstack(&amp;attr, stackAddr[tid], STACKSIZE);

    rc = pthread_create( pthread, &amp;attr, start_routine, (void*)tid );
}

int main (int argc, char *argv[])
{
   int rc;
   long t;
   void *status;

   /* Initialize and set thread detached attribute */
   pthread_attr_init(&amp;attr);
   pthread_attr_setdetachstate(&amp;attr, PTHREAD_CREATE_JOINABLE);

   for(t=0; t&lt;NUM_THREADS; t++) 
   {
      printf(""Main: creating thread %ld\n"", t);
      rc = pthread_create_with_stack(&amp;thread[t], BusyWork, t); 
      if (rc) 
      {
         printf(""ERROR; return code from pthread_create() is %d\n"", rc);
         exit(-1);
      }
   }

   /* Free attribute and wait for the other threads */
   pthread_attr_destroy(&amp;attr);
   for(t=0; t&lt;NUM_THREADS; t++) 
   {
      rc = pthread_join(thread[t], &amp;status);
      if (rc) 
      {
         printf(""ERROR; return code from pthread_join() is %d\n"", rc);
         exit(-1);
      }
      printf(""Main: completed join with thread %ld having a status""   
            ""of %ld\n"",t,(long)status);
    }

    printf(""Main: program completed. Exiting.\n"");
    pthread_exit(NULL);
}
</code></pre>
",<c++><c><linux><gcc><g++>,5
Altering a column: null to not null,"<p>I have a table that has several nullable integer columns.  This is undesirable for several reasons, so I am looking to update all nulls to 0 and then set these columns to <code>NOT NULL</code>. Aside from changing nulls to <code>0</code>, data must be preserved.</p>

<p>I am looking for the <em>specific SQL syntax</em> to alter a column (call it <code>ColumnA</code>) to ""<code>not null</code>"".  Assume the data has been updated to not contain nulls.</p>

<p>Using <em>SQL server 2000</em>.</p>
",<sql-server><t-sql><null><alter-table><alter-column>,1363
"After setting a breakpoint in Qt, gdb says: ""Error accessing memory address""","<p><strong>I wrote a very simple Qt program here:</strong></p>

<pre><code>int main(int argc, char* argv[])
{
    QApplication app(argc, argv);

    QTableView table(&amp;frame);
    table.resize(100, 100);
    table.show();

    return app.exec();
}
</code></pre>

<p><strong>And when I try to set a breakpoint where the table gets clicked, I get this error from gdb:</strong></p>

<pre><code>(gdb) symbol-file /usr/lib/libQtGui.so.4.4.3.debug 
Load new symbol table from ""/usr/lib/libQtGui.so.4.4.3.debug""? (y or n) y
Reading symbols from /usr/lib/libQtGui.so.4.4.3.debug...done.
(gdb) br 'QAbstractItemView::clicked(QModelIndex const&amp;)'
Breakpoint 1 at 0x5fc660: file .moc/release-shared/moc_qabstractitemview.cpp, line 313.
(gdb) run
Starting program: ./qt-test
Warning:
Cannot insert breakpoint 1.
Error accessing memory address 0x5fc660: Input/output error.
</code></pre>

<p><strong>Does anyone know why the breakpoint can't be inserted?</strong></p>
",<debugging><qt><qt4><gdb><breakpoints>,8
Why does FetchContent prefer subdirectory-subsumption vs installation of dependencies?,"<p>Consider two software projects, <code>proj_a</code> and <code>proj_b</code>, with the latter depending on the former; and with both using CMake.</p>
<p>When reading about modern CMake, one gets the message that the &quot;appropriate&quot; way to express dependencies is via target dependencies; and one should arrange it so that dependent projects are represented as (imported) targets you can depend on. More specifically, in our example, <code>proj_b</code> will idiomatically have:</p>
<pre><code>find_package(proj_a)

# etc etc.

target_link_library(bar proj_a::foo)
</code></pre>
<p>and <code>proj_a</code> will need to have been installed, utilizing the CMake installation-and-export-related commands, someplace where <code>proj_b</code>'s CMake invocation will search for <code>proj_a-config.cmake</code>.</p>
<p>I like this approach and encourage others to adapt to it. It offers flexibility in the choice of your own version of <code>proj_a</code> vs the system version; and also allows for non-CMake <code>proj_a</code>'s via a <code>Findproj_a.cmake</code> script (which again, can be system-level or part of <code>proj_b</code>).</p>
<p>So far so good, right? However, there are people who want to &quot;take matters into their own hands&quot; in terms of dependencies - and CMake officially condones this, with commands such as ExternalProject and more recently, <a href=""https://cmake.org/cmake/help/latest/module/FetchContent.html"" rel=""noreferrer"">FetchContent</a>: This allows proj_b's configuration stage to actually download a (built, or in our case source-form) version of proj_a.</p>
<p>The puzzling part to me is that, after <code>proj_a</code> is downloaded, say to an <code>external/proj_a</code> directory, CMake's default behavior will be to</p>
<pre><code>add_subdirectory(external/proj_a)
</code></pre>
<p>that is, to use <code>proj_a</code> as a subproject of <code>proj_b</code> and build them together. This, while the idiomatic use above allows the maintainer of <code>proj_a</code> to &quot;do their own thing&quot; in my CMakeFile, and only keep things neat and tidy for others via what I export/install.</p>
<p>My questions:</p>
<ol>
<li>Why does it make sense to <code>add_subdirectory()</code>, rather than to build, install, and perform the equivalent of <code>find_package()</code> to meet the dependency? Or rather, why should the former, rather than the latter, be the default?</li>
<li>Should I really have to write my project-level <code>CMakeLists.txt</code> to be compatible with being <code>add_subdirectory()</code>'ed?</li>
</ol>
<p>Note: Just to give some concrete examples of how this use constrains <code>proj_a</code>:</p>
<ul>
<li>Must use unique option names which can't possibly clash with super-project names. So no more <code>WITH_TESTS</code>, <code>BUILD_STATIC_LIB</code> - it has to be: <code>WITH_PROJ_A_TESTS</code> and <code>BUILD_PROJ_A_STATIC_LIB</code>.</li>
<li>You have to account for the parent project having searched for other dependencies already, and perhaps differently than how you would like to search for them.</li>
</ul>
",<installation><cmake><build><build-dependencies><fetchcontent>,8
Vuetify data table is not showing data,"<p>Vuetify data table is not showing data, it shows that there are 1 row out of 1 displayed, but the table body is empty. My component code:</p>
<pre><code>&lt;template&gt;
  &lt;v-data-table
    :headers=&quot;headers&quot;
    :items=&quot;desserts&quot;
  &gt;
  &lt;/v-data-table&gt;
&lt;/template&gt;

&lt;script&gt;
export default {
  name: 'Users',
  data () {
    return {
      headers: [
        {
          text: 'Dessert (100g serving)',
          align: 'left',
          sortable: false,
          value: 'name'
        },
        { text: 'Fat (g)', value: 'fat' },
      ],
      desserts: [
        {
          name: 'Frozen Yogurt',
          fat: 6.0,
        },
      ]
    }
  }
}
&lt;/script&gt;

&lt;style scoped  lang=&quot;stylus&quot;&gt;
&lt;/style&gt;
</code></pre>
<p>Result:</p>
<p><a href=""https://i.stack.imgur.com/A49Cg.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/A49Cg.png"" alt=""enter image description here"" /></a></p>
<p>Any idea how to fix this?</p>
",<javascript><vue.js><vuejs2><vue-component><vuetify.js>,14
Open-source java XSLT 2.0 implementation?,"<p>I'm currently looking into using XSLT 2.0, but I cannot find any open-source java implementations (<a href=""http://en.wikipedia.org/wiki/Saxon_XSLT"" rel=""noreferrer"">Saxon-B</a> seems to fit the bill, but isn't schema-aware).</p>

<p>Am I missing something?</p>
",<java><xml><open-source><xslt-2.0><xslt>,21
Android Studio shortcut for autocomplete Toast(Kotlin),"<p>I have a problem with the newest version of Android Studio(> 3) to use the autocomplete for Toast with Kotlin.</p>

<p>In older versions with Java, it was like typing ""Toast"", then pushing ""Tab"" button on keyboard to autocomplete this.</p>

<p>Now, in the versions of Android Studio > 3 and Kotlin it is not working.</p>

<p>Anyone know how to achive this?</p>
",<android><android-studio><kotlin><android-studio-3.0><android-studio-3.1>,9
Azure Build Pipeline with There are no accounts registered with Xcode. Add your developer account to Xcode,"<p>I am doing DevOps on my react-native projects. I want to build the project and want automation on iOS app deployment. But when I try to build it gives following error:</p>

<blockquote>
  <p>Check dependencies Code Signing Error: There are no accounts
  registered with Xcode. Add your developer account to Xcode Code
  Signing Error: No profiles for 'ios.kapiling' were found:  Xcode
  couldn't find any iOS App Development provisioning profiles matching
  'ios.kapiling'. Code Signing Error: Code signing is required for
  product type 'Application' in SDK 'iOS 11.4'</p>
</blockquote>

<p>Here is my YAML script:</p>

<pre><code>steps:
- task: Xcode@5
  displayName: Xcode
  inputs:
    actions: '-allowProvisioningUpdates archive '
    configuration: Release
    sdk: iphoneos11.4
    xcWorkspacePath: 'ios/community_app.xcworkspace'
    scheme: 'community_app'
    xcodeVersion: 10
    signingOption: auto
    teamId: XXXXXXXXXX
</code></pre>
",<ios><xcode><react-native><azure-devops><azure-pipelines>,6
J2ME AES Decryption Error(org.bouncycastle.crypto.InvalidCipherTextException: pad block corrupted),"<p>I am doing encryption and decryption using AES Algorithm with bouncy castle</p>

<p>My encryption and decryption works ok but it gives me error when my plain text size is bigger</p>

<p>even sometimes it is giving non decrypted data</p>

<pre><code>public static boolean setEncryptionKey(String keyText)
{
    byte[] keyBytes = keyText.getBytes();

    key = new KeyParameter(keyBytes);
    engine = new AESFastEngine();
    cipher = new PaddedBufferedBlockCipher(engine);

    return true;
}
</code></pre>

<p><strong>Encryption:</strong></p>

<pre><code>public static String encryptString(String plainText)
{

        byte[] plainArray = plainText.getBytes();

        cipher.init(true, key);
        byte[] cipherBytes = new byte[cipher.getOutputSize(plainArray.length)];
        int cipherLength = cipher.processBytes(plainArray, 0, plainArray.length, cipherBytes, 0);
        cipher.doFinal(cipherBytes, cipherLength);
        String cipherString = new String(cipherBytes);
        return cipherString;
    }
</code></pre>

<p><strong>Decryption:</strong></p>

<pre><code>public static String decryptString(String encryptedText)
{

        byte[] cipherBytes = encryptedText.getBytes();
        cipher.init(false, key);
        byte[] decryptedBytes = new byte[cipher.getOutputSize(cipherBytes.length)];
        int decryptedLength = cipher.processBytes(cipherBytes, 0, cipherBytes.length, decryptedBytes, 0);
        cipher.doFinal(decryptedBytes, decryptedLength);
        String decryptedString = new String(decryptedBytes);

        int index = decryptedString.indexOf(""\u0000"");
        if (index &gt;= 0)
        {
            decryptedString = decryptedString.substring(0, index);
        }
        return decryptedString;
    }
</code></pre>

<p>This decryption is giving me following error</p>

<pre><code>org.bouncycastle.crypto.InvalidCipherTextException: pad block corrupted
        at org.bouncycastle.crypto.paddings.PKCS7Padding.padCount(+30)
        at org.bouncycastle.crypto.paddings.PaddedBufferedBlockCipher.doFinal(+190)
        at com.NewCrypto.decryptString(NewCrypto.java:103)
        at com.New_Midlet.startApp(New_Midlet.java:23)
        at javax.microedition.midlet.MIDletProxy.startApp(MIDletProxy.java:44)
        at com.sun.midp.midlet.Scheduler.schedule(Scheduler.java:375)
        at com.sun.midp.main.Main.runLocalClass(Main.java:477)
        at com.sun.midp.main.Main.main(+80)
</code></pre>

<p>what could be the problem ?</p>
",<java-me><aes><encryption><bouncycastle><midlet>,5
