title,body,tags,score,tags_transformed,title_lemmatized,body_lemmatized
How to use nodemon in npm scripts to build and start scripts?,"""scripts"": {
  ""build"": ""babel src -d lib"",
  ""start"": ""node --use_strict ./lib/index.js"",
  ""watch"": ""nodemon lib/index.js --exec npm run build""
}

Using the command npm run watch results in the following wrong command being run: [nodemon] starting ""npm lib/index.js run build""
How would I write a nodemon command that, on reload, transpiles the code using babel and reloads the code?
",<javascript><node.js><npm><nodemon><babeljs>,14,"javascript,node.js,npm,nodemon,babeljs",['how to use nodemon in npm scripts to build and start scripts'],['scripts build babel src d lib start node usestrict libindexjs watch nodemon libindexjs exec npm run build using the command npm run watch results in the following wrong command being run nodemon starting npm libindexjs run build how would i write a nodemon command that on reload transpiles the code using babel and reloads the code']
Why do I get this error? void* is not a pointer to object type.,"void *stackAddr[NUM_THREADS];

stackAddr[i] = malloc(STACKSIZE);

The compiler (g++ 4.4.3) complains where the malloc is called...
warning: pointer of type ‘void *’ used in arithmetic
error: ‘void*’ is not a pointer-to-object type

If you are interested in seeing the whole code, here it goes...
#include <pthread.h>
#include <stdio.h>
#include <stdlib.h>
#include <math.h>
#define NUM_THREADS 4

void *stackAddr[NUM_THREADS];
pthread_t thread[NUM_THREADS];
pthread_attr_t attr;

void *BusyWork(void *t)
{
   int i;
   long tid;
   double result=0.0;
   tid = (long)t;

   printf(""Thread %ld starting...\n"",tid);
   for ( i = 0; i < 1000; i++)
   {
      result = result + sin(i*tid) * tan(i*tid);
   }
   printf(""Thread %ld done. Result = %e\n"", tid, result);
   pthread_exit((void*) t);
}

void pthread_create_with_stack( pthread_t * pthread, void *(*start_routine) (void *), int tid )
{
    const size_t STACKSIZE = 0xC00000; //12582912
    void *stackAddr;
    int rc;
    size_t i;
    pthread_t thread;
    pid_t pid;

    stackAddr[tid] = malloc(STACKSIZE); // Error here!
    pthread_attr_setstack(&attr, stackAddr[tid], STACKSIZE);

    rc = pthread_create( pthread, &attr, start_routine, (void*)tid );
}

int main (int argc, char *argv[])
{
   int rc;
   long t;
   void *status;

   /* Initialize and set thread detached attribute */
   pthread_attr_init(&attr);
   pthread_attr_setdetachstate(&attr, PTHREAD_CREATE_JOINABLE);

   for(t=0; t<NUM_THREADS; t++) 
   {
      printf(""Main: creating thread %ld\n"", t);
      rc = pthread_create_with_stack(&thread[t], BusyWork, t); 
      if (rc) 
      {
         printf(""ERROR; return code from pthread_create() is %d\n"", rc);
         exit(-1);
      }
   }

   /* Free attribute and wait for the other threads */
   pthread_attr_destroy(&attr);
   for(t=0; t<NUM_THREADS; t++) 
   {
      rc = pthread_join(thread[t], &status);
      if (rc) 
      {
         printf(""ERROR; return code from pthread_join() is %d\n"", rc);
         exit(-1);
      }
      printf(""Main: completed join with thread %ld having a status""   
            ""of %ld\n"",t,(long)status);
    }

    printf(""Main: program completed. Exiting.\n"");
    pthread_exit(NULL);
}

",<c++><c><linux><gcc><g++>,5,"c++,c,linux,gcc,g++","['why do i get this error', 'void is not a pointer to object type']","['void stackaddrnumthreads stackaddri mallocstacksize the compiler g 443 complains where the malloc is called warning pointer of type void used in arithmetic error void is not a pointertoobject type if you are interested in seeing the whole code here it goes include pthreadh include stdioh include stdlibh include mathh define numthreads 4 void stackaddrnumthreads pthreadt threadnumthreads pthreadattrt attr void busyworkvoid t int i long tid double result00 tid longt printfthread ld startingntid for i 0 i 1000 i result result sinitid tanitid printfthread ld done', 'result en tid result pthreadexitvoid t void pthreadcreatewithstack pthreadt pthread void startroutine void int tid const sizet stacksize 0xc00000 12582912 void stackaddr int rc sizet i pthreadt thread pidt pid stackaddrtid mallocstacksize error here', 'pthreadattrsetstackattr stackaddrtid stacksize rc pthreadcreate pthread attr startroutine voidtid int main int argc char argv int rc long t void status initialize and set thread detached attribute pthreadattrinitattr pthreadattrsetdetachstateattr pthreadcreatejoinable fort0 tnumthreads t printfmain creating thread ldn t rc pthreadcreatewithstackthreadt busywork t if rc printferror return code from pthreadcreate is dn rc exit1 free attribute and wait for the other threads pthreadattrdestroyattr fort0 tnumthreads t rc pthreadjointhreadt status if rc printferror return code from pthreadjoin is dn rc exit1 printfmain completed join with thread ld having a status of ldntlongstatus printfmain program completed', 'exitingn pthreadexitnull ']"
Altering a column: null to not null,"I have a table that has several nullable integer columns.  This is undesirable for several reasons, so I am looking to update all nulls to 0 and then set these columns to NOT NULL. Aside from changing nulls to 0, data must be preserved.
I am looking for the specific SQL syntax to alter a column (call it ColumnA) to ""not null"".  Assume the data has been updated to not contain nulls.
Using SQL server 2000.
",<sql-server><t-sql><null><alter-table><alter-column>,1363,"sql-server,t-sql,null,alter-table,alter-column",['altering a column null to not null'],"['i have a table that has several nullable integer columns', 'this is undesirable for several reasons so i am looking to update all nulls to 0 and then set these columns to not null', 'aside from changing nulls to 0 data must be preserved', 'i am looking for the specific sql syntax to alter a column call it columna to not null', 'assume the data has been updated to not contain nulls', 'using sql server 2000']"
"After setting a breakpoint in Qt, gdb says: ""Error accessing memory address""","I wrote a very simple Qt program here:
int main(int argc, char* argv[])
{
    QApplication app(argc, argv);

    QTableView table(&frame);
    table.resize(100, 100);
    table.show();

    return app.exec();
}

And when I try to set a breakpoint where the table gets clicked, I get this error from gdb:
(gdb) symbol-file /usr/lib/libQtGui.so.4.4.3.debug 
Load new symbol table from ""/usr/lib/libQtGui.so.4.4.3.debug""? (y or n) y
Reading symbols from /usr/lib/libQtGui.so.4.4.3.debug...done.
(gdb) br 'QAbstractItemView::clicked(QModelIndex const&)'
Breakpoint 1 at 0x5fc660: file .moc/release-shared/moc_qabstractitemview.cpp, line 313.
(gdb) run
Starting program: ./qt-test
Warning:
Cannot insert breakpoint 1.
Error accessing memory address 0x5fc660: Input/output error.

Does anyone know why the breakpoint can't be inserted?
",<debugging><qt><qt4><gdb><breakpoints>,8,"debugging,qt,qt4,gdb,breakpoints",['after setting a breakpoint in qt gdb says error accessing memory address'],"['i wrote a very simple qt program here int mainint argc char argv qapplication appargc argv qtableview tableframe tableresize100 100 tableshow return appexec and when i try to set a breakpoint where the table gets clicked i get this error from gdb gdb symbolfile usrliblibqtguiso443debug load new symbol table from usrliblibqtguiso443debug', 'y or n y reading symbols from usrliblibqtguiso443debugdone', 'gdb br qabstractitemviewclickedqmodelindex const breakpoint 1 at 0x5fc660 file mocreleasesharedmocqabstractitemviewcpp line 313', 'gdb run starting program qttest warning cannot insert breakpoint 1 error accessing memory address 0x5fc660 inputoutput error', 'does anyone know why the breakpoint cant be inserted']"
Why does FetchContent prefer subdirectory-subsumption vs installation of dependencies?,"Consider two software projects, proj_a and proj_b, with the latter depending on the former; and with both using CMake.
When reading about modern CMake, one gets the message that the ""appropriate"" way to express dependencies is via target dependencies; and one should arrange it so that dependent projects are represented as (imported) targets you can depend on. More specifically, in our example, proj_b will idiomatically have:
find_package(proj_a)

# etc etc.

target_link_library(bar proj_a::foo)

and proj_a will need to have been installed, utilizing the CMake installation-and-export-related commands, someplace where proj_b's CMake invocation will search for proj_a-config.cmake.
I like this approach and encourage others to adapt to it. It offers flexibility in the choice of your own version of proj_a vs the system version; and also allows for non-CMake proj_a's via a Findproj_a.cmake script (which again, can be system-level or part of proj_b).
So far so good, right? However, there are people who want to ""take matters into their own hands"" in terms of dependencies - and CMake officially condones this, with commands such as ExternalProject and more recently, FetchContent: This allows proj_b's configuration stage to actually download a (built, or in our case source-form) version of proj_a.
The puzzling part to me is that, after proj_a is downloaded, say to an external/proj_a directory, CMake's default behavior will be to
add_subdirectory(external/proj_a)

that is, to use proj_a as a subproject of proj_b and build them together. This, while the idiomatic use above allows the maintainer of proj_a to ""do their own thing"" in my CMakeFile, and only keep things neat and tidy for others via what I export/install.
My questions:

Why does it make sense to add_subdirectory(), rather than to build, install, and perform the equivalent of find_package() to meet the dependency? Or rather, why should the former, rather than the latter, be the default?
Should I really have to write my project-level CMakeLists.txt to be compatible with being add_subdirectory()'ed?

Note: Just to give some concrete examples of how this use constrains proj_a:

Must use unique option names which can't possibly clash with super-project names. So no more WITH_TESTS, BUILD_STATIC_LIB - it has to be: WITH_PROJ_A_TESTS and BUILD_PROJ_A_STATIC_LIB.
You have to account for the parent project having searched for other dependencies already, and perhaps differently than how you would like to search for them.

",<installation><cmake><build><build-dependencies><fetchcontent>,8,"installation,cmake,build,build-dependencies,fetchcontent",['why does fetchcontent prefer subdirectorysubsumption vs installation of dependencies'],"['consider two software projects proja and projb with the latter depending on the former and with both using cmake', 'when reading about modern cmake one gets the message that the appropriate way to express dependencies is via target dependencies and one should arrange it so that dependent projects are represented as imported targets you can depend on', 'more specifically in our example projb will idiomatically have findpackageproja etc etc', 'targetlinklibrarybar projafoo and proja will need to have been installed utilizing the cmake installationandexportrelated commands someplace where projbs cmake invocation will search for projaconfigcmake', 'i like this approach and encourage others to adapt to it', 'it offers flexibility in the choice of your own version of proja vs the system version and also allows for noncmake projas via a findprojacmake script which again can be systemlevel or part of projb', 'so far so good right', 'however there are people who want to take matters into their own hands in terms of dependencies and cmake officially condones this with commands such as externalproject and more recently fetchcontent this allows projbs configuration stage to actually download a built or in our case sourceform version of proja', 'the puzzling part to me is that after proja is downloaded say to an externalproja directory cmakes default behavior will be to addsubdirectoryexternalproja that is to use proja as a subproject of projb and build them together', 'this while the idiomatic use above allows the maintainer of proja to do their own thing in my cmakefile and only keep things neat and tidy for others via what i exportinstall', 'my questions why does it make sense to addsubdirectory rather than to build install and perform the equivalent of findpackage to meet the dependency', 'or rather why should the former rather than the latter be the default', 'should i really have to write my projectlevel cmakeliststxt to be compatible with being addsubdirectoryed', 'note just to give some concrete examples of how this use constrains proja must use unique option names which cant possibly clash with superproject names', 'so no more withtests buildstaticlib it has to be withprojatests and buildprojastaticlib', 'you have to account for the parent project having searched for other dependencies already and perhaps differently than how you would like to search for them']"
Vuetify data table is not showing data,"Vuetify data table is not showing data, it shows that there are 1 row out of 1 displayed, but the table body is empty. My component code:
<template>
  <v-data-table
    :headers=""headers""
    :items=""desserts""
  >
  </v-data-table>
</template>

<script>
export default {
  name: 'Users',
  data () {
    return {
      headers: [
        {
          text: 'Dessert (100g serving)',
          align: 'left',
          sortable: false,
          value: 'name'
        },
        { text: 'Fat (g)', value: 'fat' },
      ],
      desserts: [
        {
          name: 'Frozen Yogurt',
          fat: 6.0,
        },
      ]
    }
  }
}
</script>

<style scoped  lang=""stylus"">
</style>

Result:

Any idea how to fix this?
",<javascript><vue.js><vuejs2><vue-component><vuetify.js>,14,"javascript,vue.js,vuejs2,vue-component,vuetify.js",['vuetify data table is not showing data'],"['vuetify data table is not showing data it shows that there are 1 row out of 1 displayed but the table body is empty', 'my component code template vdatatable headersheaders itemsdesserts vdatatable template script export default name users data return headers text dessert 100g serving align left sortable false value name text fat g value fat desserts name frozen yogurt fat 60 script style scoped langstylus style result any idea how to fix this']"
Open-source java XSLT 2.0 implementation?,"I'm currently looking into using XSLT 2.0, but I cannot find any open-source java implementations (Saxon-B seems to fit the bill, but isn't schema-aware).
Am I missing something?
",<java><xml><open-source><xslt-2.0><xslt>,21,"java,xml,open-source,xslt-2.0,xslt",['opensource java xslt 20 implementation'],"['im currently looking into using xslt 20 but i cannot find any opensource java implementations saxonb seems to fit the bill but isnt schemaaware', 'am i missing something']"
Android Studio shortcut for autocomplete Toast(Kotlin),"I have a problem with the newest version of Android Studio(> 3) to use the autocomplete for Toast with Kotlin.
In older versions with Java, it was like typing ""Toast"", then pushing ""Tab"" button on keyboard to autocomplete this.
Now, in the versions of Android Studio > 3 and Kotlin it is not working.
Anyone know how to achive this?
",<android><android-studio><kotlin><android-studio-3.0><android-studio-3.1>,9,"android,android-studio,kotlin,android-studio-3.0,android-studio-3.1",['android studio shortcut for autocomplete toastkotlin'],"['i have a problem with the newest version of android studio 3 to use the autocomplete for toast with kotlin', 'in older versions with java it was like typing toast then pushing tab button on keyboard to autocomplete this', 'now in the versions of android studio 3 and kotlin it is not working', 'anyone know how to achive this']"
Azure Build Pipeline with There are no accounts registered with Xcode. Add your developer account to Xcode,"I am doing DevOps on my react-native projects. I want to build the project and want automation on iOS app deployment. But when I try to build it gives following error:

Check dependencies Code Signing Error: There are no accounts
  registered with Xcode. Add your developer account to Xcode Code
  Signing Error: No profiles for 'ios.kapiling' were found:  Xcode
  couldn't find any iOS App Development provisioning profiles matching
  'ios.kapiling'. Code Signing Error: Code signing is required for
  product type 'Application' in SDK 'iOS 11.4'

Here is my YAML script:
steps:
- task: Xcode@5
  displayName: Xcode
  inputs:
    actions: '-allowProvisioningUpdates archive '
    configuration: Release
    sdk: iphoneos11.4
    xcWorkspacePath: 'ios/community_app.xcworkspace'
    scheme: 'community_app'
    xcodeVersion: 10
    signingOption: auto
    teamId: XXXXXXXXXX

",<ios><xcode><react-native><azure-devops><azure-pipelines>,6,"ios,xcode,react-native,azure-devops,azure-pipelines","['azure build pipeline with there are no accounts registered with xcode', 'add your developer account to xcode']","['i am doing devops on my reactnative projects', 'i want to build the project and want automation on ios app deployment', 'but when i try to build it gives following error check dependencies code signing error there are no accounts registered with xcode', 'add your developer account to xcode code signing error no profiles for ioskapiling were found xcode couldnt find any ios app development provisioning profiles matching ioskapiling', 'code signing error code signing is required for product type application in sdk ios 114 here is my yaml script steps task xcode5 displayname xcode inputs actions allowprovisioningupdates archive configuration release sdk iphoneos114 xcworkspacepath ioscommunityappxcworkspace scheme communityapp xcodeversion 10 signingoption auto teamid xxxxxxxxxx']"
J2ME AES Decryption Error(org.bouncycastle.crypto.InvalidCipherTextException: pad block corrupted),"I am doing encryption and decryption using AES Algorithm with bouncy castle
My encryption and decryption works ok but it gives me error when my plain text size is bigger
even sometimes it is giving non decrypted data
public static boolean setEncryptionKey(String keyText)
{
    byte[] keyBytes = keyText.getBytes();

    key = new KeyParameter(keyBytes);
    engine = new AESFastEngine();
    cipher = new PaddedBufferedBlockCipher(engine);

    return true;
}

Encryption:
public static String encryptString(String plainText)
{

        byte[] plainArray = plainText.getBytes();

        cipher.init(true, key);
        byte[] cipherBytes = new byte[cipher.getOutputSize(plainArray.length)];
        int cipherLength = cipher.processBytes(plainArray, 0, plainArray.length, cipherBytes, 0);
        cipher.doFinal(cipherBytes, cipherLength);
        String cipherString = new String(cipherBytes);
        return cipherString;
    }

Decryption:
public static String decryptString(String encryptedText)
{

        byte[] cipherBytes = encryptedText.getBytes();
        cipher.init(false, key);
        byte[] decryptedBytes = new byte[cipher.getOutputSize(cipherBytes.length)];
        int decryptedLength = cipher.processBytes(cipherBytes, 0, cipherBytes.length, decryptedBytes, 0);
        cipher.doFinal(decryptedBytes, decryptedLength);
        String decryptedString = new String(decryptedBytes);

        int index = decryptedString.indexOf(""\u0000"");
        if (index >= 0)
        {
            decryptedString = decryptedString.substring(0, index);
        }
        return decryptedString;
    }

This decryption is giving me following error
org.bouncycastle.crypto.InvalidCipherTextException: pad block corrupted
        at org.bouncycastle.crypto.paddings.PKCS7Padding.padCount(+30)
        at org.bouncycastle.crypto.paddings.PaddedBufferedBlockCipher.doFinal(+190)
        at com.NewCrypto.decryptString(NewCrypto.java:103)
        at com.New_Midlet.startApp(New_Midlet.java:23)
        at javax.microedition.midlet.MIDletProxy.startApp(MIDletProxy.java:44)
        at com.sun.midp.midlet.Scheduler.schedule(Scheduler.java:375)
        at com.sun.midp.main.Main.runLocalClass(Main.java:477)
        at com.sun.midp.main.Main.main(+80)

what could be the problem ?
",<java-me><aes><encryption><bouncycastle><midlet>,5,"java-me,aes,encryption,bouncycastle,midlet",['j2me aes decryption errororgbouncycastlecryptoinvalidciphertextexception pad block corrupted'],['i am doing encryption and decryption using aes algorithm with bouncy castle my encryption and decryption works ok but it gives me error when my plain text size is bigger even sometimes it is giving non decrypted data public static boolean setencryptionkeystring keytext byte keybytes keytextgetbytes key new keyparameterkeybytes engine new aesfastengine cipher new paddedbufferedblockcipherengine return true encryption public static string encryptstringstring plaintext byte plainarray plaintextgetbytes cipherinittrue key byte cipherbytes new byteciphergetoutputsizeplainarraylength int cipherlength cipherprocessbytesplainarray 0 plainarraylength cipherbytes 0 cipherdofinalcipherbytes cipherlength string cipherstring new stringcipherbytes return cipherstring decryption public static string decryptstringstring encryptedtext byte cipherbytes encryptedtextgetbytes cipherinitfalse key byte decryptedbytes new byteciphergetoutputsizecipherbyteslength int decryptedlength cipherprocessbytescipherbytes 0 cipherbyteslength decryptedbytes 0 cipherdofinaldecryptedbytes decryptedlength string decryptedstring new stringdecryptedbytes int index decryptedstringindexofu0000 if index 0 decryptedstring decryptedstringsubstring0 index return decryptedstring this decryption is giving me following error orgbouncycastlecryptoinvalidciphertextexception pad block corrupted at orgbouncycastlecryptopaddingspkcs7paddingpadcount30 at orgbouncycastlecryptopaddingspaddedbufferedblockcipherdofinal190 at comnewcryptodecryptstringnewcryptojava103 at comnewmidletstartappnewmidletjava23 at javaxmicroeditionmidletmidletproxystartappmidletproxyjava44 at comsunmidpmidletschedulerscheduleschedulerjava375 at comsunmidpmainmainrunlocalclassmainjava477 at comsunmidpmainmainmain80 what could be the problem ']
